date,price,count,market_cnt
20240904,5925.0,2259,8
20240905,6199.0,1803,8
20240906,5958.0,1342,5
20240909,6259.0,2514,8
20240910,6384.0,1846,8
20240911,6191.0,2086,9
20240912,6097.0,1075,5
20240913,5963.0,33,2
20240919,6510.0,1170,5
20240920,6256.0,841,4
20240923,6250.0,1746,7
20240924,6023.0,1732,8
20240925,5929.0,2040,8
20240926,6014.0,1935,8
20240927,5697.0,1114,5
20240930,5821.0,2267,8
20241001,5790.0,1791,4
20241002,5712.0,2116,8
20241003,5841.0,982,2
20241004,4894.0,438,4
20241007,5649.0,2193,8
20241008,5707.0,2145,7
20241009,5911.0,1136,3
20241010,5871.0,1745,8
20241011,5213.0,318,3
20241014,5833.0,2117,6
20241015,5867.0,1821,8
20241016,5868.0,1750,8
20241017,5756.0,1848,8
20241018,5611.0,785,4
20241021,5763.0,2000,8
20241022,5839.0,1657,7
20241023,5802.0,1700,8
20241024,5771.0,1592,8
20241025,5359.0,859,5
20241028,5593.0,2222,8
20241029,5467.0,1896,8
20241030,5488.0,1600,8
20241031,5404.0,1541,8
20241101,4924.0,296,5
20241104,5475.0,2109,8
20241105,5486.0,1723,8
20241106,5358.0,1981,8
20241107,5442.0,1516,8
20241108,5323.0,972,5
20241111,5485.0,2068,8
20241112,5414.0,1992,7
20241113,5245.0,2023,8
20241114,5265.0,1849,8
20241115,5071.0,1179,5
20241118,5421.0,1942,8
20241119,5353.0,1818,8
20241120,5470.0,942,7
20241121,5399.0,1991,8
20241122,5177.0,1388,6
20241125,5440.0,2180,8
20241126,5454.0,1960,7
20241127,5449.0,1980,8
20241128,5465.0,1593,8
20241129,5070.0,551,5
20241202,5935.0,1801,8
20241203,5852.0,2055,8
20241204,5921.0,1877,8
20241205,5840.0,1695,8
20241206,5800.0,907,5
20241209,5877.0,2042,8
20241210,5788.0,1988,8
20241211,5832.0,1884,8
20241212,5776.0,1646,8
20241213,5671.0,958,4
20241216,5853.0,1797,8
20241217,5793.0,1923,8
20241218,5757.0,1913,7
20241219,5627.0,1849,8
20241220,5496.0,890,5
20241223,5393.0,2592,9
20241224,5169.0,2184,8
20241225,5100.0,775,1
20241226,5357.0,2015,8
20241227,5095.0,904,6
20241230,5340.0,2169,8
20241231,5084.0,2243,7
20250101,5844.0,33,1
20250102,5318.0,2071,8
20250103,5110.0,1029,5
20250106,5292.0,2132,8
20250107,5165.0,2090,8
20250108,5041.0,2166,8
20250109,5000.0,1803,8
20250110,4911.0,917,5
20250113,5139.0,2056,8
20250114,4969.0,2148,8
20250115,5064.0,1927,8
20250116,5213.0,1781,8
20250117,5246.0,1220,5
20250120,5163.0,2622,8
20250121,5140.0,2383,8
20250122,5144.0,2352,8
20250123,5065.0,1561,7
20250124,4640.0,1385,4
20250131,4266.0,1133,2
20250203,4760.0,2050,6
20250204,4775.0,2025,8
20250205,4655.0,2212,8
20250206,4636.0,2106,8
20250207,4498.0,1444,5
20250210,4793.0,2139,8
20250211,4775.0,2043,8
20250212,4712.0,1856,8
20250213,4653.0,1956,8
20250214,4498.0,325,4
20250217,4662.0,2214,7
20250218,4737.0,1807,7
20250219,4758.0,1906,8
20250220,4798.0,1683,8
20250221,4671.0,1077,5
20250224,4858.0,1915,8
20250225,4940.0,1728,8
20250226,5015.0,1657,8
20250227,5037.0,1847,8
20250228,4776.0,990,4
20250303,4999.0,1334,3
20250304,5152.0,1716,8
20250305,5170.0,1797,7
20250306,5332.0,1635,8
20250307,4667.0,253,3
20250310,5403.0,1482,6
20250311,5616.0,1633,8
20250312,5592.0,1639,8
20250313,5460.0,1776,8
20250314,5363.0,901,5
20250317,5469.0,1761,8
20250318,5448.0,1571,7
20250319,5445.0,1582,8
20250320,5399.0,1445,8
20250321,5133.0,982,5
20250324,5312.0,1768,8
20250325,5382.0,1490,8
20250326,5352.0,1600,8
20250327,5365.0,1512,8
20250328,5094.0,853,5
20250331,5291.0,1630,8
20250401,5413.0,1600,8
20250402,5409.0,1443,8
20250403,5500.0,1457,8
20250404,5412.0,686,4
20250407,5588.0,1659,8
20250408,5678.0,1569,8
20250409,5598.0,1625,8
20250410,5565.0,1470,8
20250411,5405.0,845,5
20250414,5703.0,1489,8
20250415,5773.0,1497,8
20250416,5710.0,1517,7
20250417,5726.0,1603,8
20250418,5472.0,950,5
20250421,5695.0,1640,8
20250422,5793.0,1476,8
20250423,5717.0,1650,8
20250424,5736.0,1551,8
20250425,5770.0,718,5
20250428,5798.0,2009,8
20250429,5798.0,1820,8
20250430,5714.0,1889,8
20250501,5685.0,1677,7
20250502,5172.0,226,3
20250505,5701.0,1070,1
20250506,5597.0,1159,2
20250507,5765.0,2040,7
20250508,5734.0,1850,8
20250509,5503.0,292,4
20250512,5763.0,1837,8
20250513,5777.0,1677,6
20250514,5817.0,1635,8
20250515,5761.0,1508,8
20250516,5673.0,933,5
20250519,5805.0,1692,8
20250520,5800.0,1703,8
20250521,5747.0,1678,8
20250522,5826.0,1494,8
20250523,5653.0,242,3
20250526,5919.0,1682,8
20250527,6036.0,1553,7
20250528,5994.0,1696,8
20250529,6145.0,1551,8
20250530,6054.0,845,5
20250602,5986.0,2070,8
20250604,6038.0,2044,8
20250605,5919.0,1926,8
20250606,6025.0,87,1
20250609,5981.0,1436,6
20250610,6062.0,1632,8
20250611,6126.0,1613,8
20250612,6099.0,1467,8
20250613,6034.0,768,5
20250616,6159.0,1726,8
20250617,6237.0,1438,8
20250618,6244.0,1451,8
20250619,6234.0,1460,8
20250620,6183.0,771,5
20250623,6161.0,1692,8
20250624,6257.0,1508,8
20250625,6218.0,1483,7
20250626,6128.0,1406,7
20250627,5965.0,796,4
20250630,6151.0,1603,7
20250701,6228.0,1500,8
20250702,6172.0,1477,6
20250703,6219.0,1216,6
20250704,6283.0,665,5
20250707,6367.0,1647,8
20250708,6418.0,1502,8
20250709,6397.0,1349,8
20250710,6309.0,1413,6
20250711,6281.0,588,5
20250714,6498.0,1582,8
20250715,6648.0,1594,8
20250716,6381.0,1793,7
20250717,6192.0,1528,8
20250718,6148.0,622,5
20250721,6371.0,2059,8
20250722,6254.0,1717,8
20250723,6229.0,1394,8
20250724,6376.0,1110,7
20250725,6223.0,707,3
20250728,6477.0,1370,5
20250729,6550.0,1984,8
20250730,6441.0,1777,8
20250731,6563.0,1147,7
20250801,6482.0,631,5
20250804,6625.0,1935,8
20250805,6665.0,1791,7
20250806,6692.0,1681,6
20250807,6614.0,1965,8
20250808,6259.0,335,4
20250811,6792.0,1980,8
20250812,6842.0,1791,8
20250813,6684.0,1837,8
20250814,6195.0,1745,8
20250818,6533.0,1929,8
20250819,6545.0,1787,7
20250820,6708.0,1832,8
20250821,6654.0,1742,8
20250822,6303.0,284,5
20250825,6680.0,1918,8
20250826,6642.0,2045,8
20250827,6493.0,1796,8
20250828,6435.0,1471,8
20250829,6401.0,852,5
20250901,6602.0,2266,7
20250902,6548.0,1797,8
20250903,6500.0,1619,8
20250904,6330.0,1592,8
20250905,6206.0,840,5
20250908,6596.0,1882,8
20250909,6576.0,1712,8
20250910,6543.0,1554,8
20250911,6521.0,1416,8
20250912,6604.0,845,5
20250915,6632.0,2009,7
20250916,6582.0,1824,6
20250917,6550.0,1723,8
20250918,6318.0,1628,7
20250919,6501.0,1014,5
20250922,6557.0,2224,8
20250923,6619.0,2037,8
20250924,6507.0,2056,8
20250925,6585.0,1985,8
20250926,6313.0,1503,5
20250929,6504.0,2489,8
20250930,6135.0,2222,6
20251001,5623.0,1995,8
20251002,5343.0,900,3
20251003,2399.0,7,1
20251009,5912.0,991,1
20251010,5860.0,1289,4
20251013,6049.0,1868,7
20251014,6019.0,2157,8
20251015,6068.0,1838,8
20251016,5780.0,1848,8
20251017,5816.0,1104,5
20251020,6020.0,1963,6
20251021,5934.0,1966,8
20251022,5948.0,1569,8
20251023,5804.0,1606,6
20251024,5760.0,925,6
20251027,5797.0,1977,8
20251028,5799.0,1800,8
20251029,5772.0,1664,8
20251030,5837.0,1520,7
20251031,5563.0,902,5
20251103,5706.0,1940,8
20251104,5739.0,1775,7
20251105,5691.0,1773,7
20251106,5689.0,1636,9
20251107,5453.0,1102,5
20251110,5518.0,1962,8
20251111,5606.0,1887,8
20251112,5600.0,1789,8
20251113,5507.0,1689,8
20251114,5390.0,944,5
20251117,5587.0,1835,8
20251118,5611.0,1907,7
20251119,5699.0,1641,8
20251120,5535.0,1858,8
20251121,5419.0,879,4
20251124,5585.0,1869,8
20251125,6027.0,2274,9
20251126,6411.0,131,2
20251127,5977.0,1866,5
20251128,5674.0,1222,7
20251201,5827.0,1916,8
20251202,5877.0,1838,7
20251203,5881.0,1851,8
20251204,5814.0,1852,8
20251205,5740.0,983,5
20251208,5928.0,1855,8
20251209,5866.0,1828,6
20251210,5791.0,1710,8
20251211,5806.0,1732,8
20251212,5667.0,928,6
20251215,5653.0,1956,8
20251216,5744.0,1921,8
20251217,5743.0,1755,8
20251218,5623.0,1546,8
20251219,5554.0,904,5
20251222,5548.0,2242,8
20251223,5489.0,2290,8
20251224,5301.0,2140,8
20251225,5167.0,1053,2
20251226,4909.0,137,3
20251229,5351.0,2115,8
20251230,5441.0,1915,8
20251231,5357.0,1941,8
20260102,5148.0,1062,6
20260105,5352.0,1842,8
20260106,5290.0,2000,8
20260107,5203.0,1774,7
20260108,5183.0,1559,7
20260109,5093.0,1040,5
20260112,5164.0,1888,8
20260113,5159.0,1843,7
20260114,5096.0,1616,7
20260115,5038.0,1568,8
20260116,4958.0,1093,5
20260119,5178.0,1833,8
20260120,5085.0,1873,8
20260121,5133.0,1647,8
20260122,4967.0,1535,7
20260123,5082.0,953,5
